Name,Category
Dwayne Johnson,Actors
Rafael Nadal,Athletes
Bruce Springsteen,Musicians
The Eagles,Musicians
Justin Timberlake,Musicians
One Direction,Musicians
Paul McCartney,Musicians
Cristiano Ronaldo,Athletes
Sean (Diddy) Combs,Musicians
Ryan Seacrest,Personalities
Justin Bieber,Musicians
Kevin Durant,Athletes
Jennifer Lopez,Musicians
Sandra Bullock,Actresses
James Patterson,Authors
Pharrell Williams,Musicians
Glenn Beck,Personalities
Peyton Manning,Athletes
Mark Burnett,Directors/Producers
Simon Cowell,Personalities
Novak Djokovic,Athletes
Phil Mickelson,Athletes
Jimmy Fallon,Personalities
Lionel Messi,Athletes
Avicii,Musicians
Bradley Cooper,Actors
Peter Jackson,Directors/Producers
Michael Bay,Directors/Producers
Toby Keith,Musicians
Leonardo DiCaprio,Actors
Matthew McConaughey,Actors
Sofia Vergara,Television actresses
Dwyane Wade,Athletes
Gisele Bündchen,Models
Tyler Perry,Directors/Producers
Gordon Ramsay,Personalities
Rush Limbaugh,Personalities
Jon Stewart,Personalities
Mark Wahlberg,Actors
Howard Stern,Personalities
Hugh Jackman,Actors
Ashton Kutcher,Actors
Maria Sharapova,Athletes
Vin Diesel,Actors
Ben Affleck,Actors
Joss Whedon,Directors/Producers
Serena Williams,Athletes
Kenny Chesney,Musicians
J.J. Abrams,Directors/Producers
Neil Patrick Harris,Television actors
Angelina Jolie,Actresses
Kevin Spacey,Television actors
Will Smith,Actors
Scarlett Johansson,Actresses
Jennifer Aniston,Actresses
Dan Brown,Authors
John Green,Authors
Kim Kardashian,Personalities
Amy Adams,Actresses
Stephen King,Authors
Dr. Phil McGraw,Personalities
J.K. Rowling,Authors
Li Na,Athletes
Sean Hannity,Personalities
Seth MacFarlane,Directors/Producers
Bryan Cranston,Television actors
Jon Hamm,Television actors
Gwyneth Paltrow,Actresses
Kate Moss,Models
Meryl Streep,Actresses
Kerry Washington,Actresses
Kate Upton,Models
Veronica Roth,Authors
Zooey Deschanel,Actresses
Cameron Diaz,Actresses
Floyd Mayweather,Athletes
Manny Pacquiao,Athletes
